sex,age,address,Medu,Fedu,Mjob,Fjob,studytime,failures,famsup,tuition,internet,freetime,goout,health,absences,G3,Final_status
M,18,R,4,2,other,other,1,1,no,no,no,4,3,3,14,5,fail
F,18,R,2,2,at_home,other,3,0,no,no,no,3,3,4,2,10,pass
F,18,R,4,4,teacher,at_home,1,0,yes,no,yes,4,3,5,7,6,fail
F,19,R,2,3,services,other,3,1,no,no,yes,4,2,5,0,0,fail
F,18,U,3,1,teacher,services,2,0,yes,no,yes,3,4,1,0,8,fail
F,18,U,1,1,other,other,2,1,no,no,no,1,1,5,0,0,fail
M,20,U,2,2,services,services,2,2,yes,no,no,5,4,4,11,9,pass
M,21,R,1,1,other,other,1,3,no,no,no,5,3,3,3,7,fail
M,18,R,3,2,services,other,1,0,no,no,yes,4,1,5,0,10,pass
M,19,U,1,1,other,at_home,1,0,no,no,yes,2,3,5,5,9,pass
M,18,R,2,1,other,other,1,0,no,no,yes,4,3,5,5,7,fail
F,17,U,2,2,other,at_home,3,0,no,no,no,4,3,3,8,11,pass
M,19,R,1,1,other,services,2,3,no,no,yes,4,4,2,8,8,fail
F,18,U,3,3,services,services,2,0,yes,yes,no,3,4,5,0,9,pass
M,18,U,1,3,at_home,services,1,1,no,no,yes,3,3,3,7,8,fail
F,18,U,4,4,at_home,teacher,2,0,no,no,no,3,4,3,6,6,fail
F,17,R,2,2,other,other,1,0,yes,yes,yes,3,2,3,18,6,fail
M,18,U,4,4,teacher,services,3,0,no,no,yes,2,2,5,0,13,pass
M,18,R,4,3,teacher,services,3,0,no,no,yes,3,2,4,9,16,pass
